"filename", "language", "TypeScript React", "TypeScript", "Less", "XML", "CSS", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/aic/Desktop/zen-blog/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/aic/Desktop/zen-blog/api/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 9, 17, 61
"/Users/aic/Desktop/zen-blog/config/env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 35, 11, 105
"/Users/aic/Desktop/zen-blog/config/getHttpsConfig.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 7, 9, 67
"/Users/aic/Desktop/zen-blog/config/jest/babelTransform.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"/Users/aic/Desktop/zen-blog/config/jest/cssTransform.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 3, 15
"/Users/aic/Desktop/zen-blog/config/jest/fileTransform.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 6, 41
"/Users/aic/Desktop/zen-blog/config/modules.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 30, 25, 135
"/Users/aic/Desktop/zen-blog/config/paths.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 10, 13, 78
"/Users/aic/Desktop/zen-blog/config/webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 587, 0, 0, 180, 30, 797
"/Users/aic/Desktop/zen-blog/config/webpack/persistentCache/createEnvironmentHash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/aic/Desktop/zen-blog/config/webpackDevServer.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 58, 7, 128
"/Users/aic/Desktop/zen-blog/content/articles/articleList/articleList.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 28
"/Users/aic/Desktop/zen-blog/content/articles/inspireList/InspireNavSidebar.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"/Users/aic/Desktop/zen-blog/content/articles/inspireList/inspireCardContent.json", "JSON", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 88
"/Users/aic/Desktop/zen-blog/content/works/bannerContent.json", "JSON", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"/Users/aic/Desktop/zen-blog/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/aic/Desktop/zen-blog/package-lock.json", "JSON", 0, 0, 0, 0, 0, 28146, 0, 0, 0, 0, 0, 1, 28147
"/Users/aic/Desktop/zen-blog/package.json", "JSON", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 1, 145
"/Users/aic/Desktop/zen-blog/public/vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/aic/Desktop/zen-blog/scripts/build.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 21, 23, 218
"/Users/aic/Desktop/zen-blog/scripts/start.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 17, 16, 155
"/Users/aic/Desktop/zen-blog/scripts/test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 7, 10, 53
"/Users/aic/Desktop/zen-blog/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 12, 19, 69
"/Users/aic/Desktop/zen-blog/src/App.less", "Less", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59
"/Users/aic/Desktop/zen-blog/src/App.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"/Users/aic/Desktop/zen-blog/src/api/hygraph.tsx", "TypeScript React", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 24, 101
"/Users/aic/Desktop/zen-blog/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/aic/Desktop/zen-blog/src/assets/svg/Icon-doubleCircle.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-automation.svg", "XML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-pageBg.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-radia-dottedLine.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-radia-normalLine.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-radia-outLine.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-radia.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-tiltBg.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-userFeedBack.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/aic/Desktop/zen-blog/src/assets/svg/bg-uxStategy.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/aic/Desktop/zen-blog/src/assets/svg/graphic-doubleSquare.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/aic/Desktop/zen-blog/src/assets/svg/graphic-tranglesBottom.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/graphic-tranglesMedium.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/graphic-tranglesTop.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aic/Desktop/zen-blog/src/assets/svg/icon-Quota.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/aic/Desktop/zen-blog/src/assets/svg/icon-arrDown.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/aic/Desktop/zen-blog/src/assets/svg/icon-arrUp.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/aic/Desktop/zen-blog/src/assets/svg/icon-back.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/aic/Desktop/zen-blog/src/assets/svg/icon-book.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
